_id,bentuk_kekerasan,kategori,tahun,jumlah
1,KDRT,Perempuan,2018,280
2,Kekerasan Fisik,Perempuan,2018,193
3,Kekerasan Psikis,Perempuan,2018,251
4,Penelantaran,Perempuan,2018,149
5,Pemerkosaan,Perempuan,2018,30
6,Seksual,Perempuan,2018,19
7,Traffiking,Perempuan,2018,2
8,Ekploitasi Seksual,Perempuan,2018,1
9,Lain-lain,Perempuan,2018,56
10,Kekerasan Psikis,Anak,2018,234
11,Kekerasan Fisik,Anak,2018,154
12,Pelecehan Seksual,Anak,2018,203
13,Sexual (Incess ),Anak,2018,10
14,Sodomi,Anak,2018,8
15,Trafficking,Anak,2018,3
16,Penelantaran,Anak,2018,74
17,Eksploitasi Ekonomi,Anak,2018,7
18,Eksploitasi Seksual,Anak,2018,2
19,KDRT,Anak,2018,33
20,Pemerkosaan,Anak,2018,96
21,ABH,Anak,2018,48
22,Lain-Lain,Anak,2018,54
